Voltage, ChB, Run #1
Time ( s )	Voltage ( V )
0,0000	0,010
0,0250	0,006
0,0500	0,009
0,0750	0,007
0,1000	0,005
0,1250	0,009
0,1500	0,010
0,1750	0,001
0,2000	0,002
0,2250	0,006
0,2500	0,007
0,2750	0,002
0,3000	0,004
0,3250	0,005
0,3500	0,008
0,3750	0,004
0,4000	0,004
0,4250	0,008
0,4500	0,010
0,4750	0,004
0,5000	0,004
0,5250	0,007
0,5500	0,008
0,5750	0,007
0,6000	0,006
0,6250	0,006
0,6500	0,005
0,6750	0,007
0,7000	0,009
0,7250	0,003
0,7500	0,005
0,7750	0,007
0,8000	0,008
0,8250	0,007
0,8500	0,006
0,8750	0,003
0,9000	0,005
0,9250	0,005
0,9500	0,007
0,9750	0,005
1,0000	0,005
1,0250	0,001
1,0500	0,004
1,0750	0,005
1,1000	0,006
1,1250	0,003
1,1500	0,003
1,1750	0,004
1,2000	0,004
1,2250	0,005
1,2500	0,007
1,2750	0,005
1,3000	0,004
1,3250	0,005
1,3500	0,006
1,3750	0,008
1,4000	0,009
1,4250	0,003
1,4500	0,005
1,4750	0,001
1,5000	0,002
1,5250	0,005
1,5500	0,005
1,5750	0,006
1,6000	0,007
1,6250	0,004
1,6500	0,003
1,6750	0,008
1,7000	0,009
1,7250	0,003
1,7500	0,005
1,7750	0,007
1,8000	0,008
1,8250	0,002
1,8500	0,003
1,8750	0,008
1,9000	0,009
1,9250	0,003
1,9500	0,004
1,9750	0,008
2,0000	0,007
2,0250	0,005
2,0500	0,007
2,0750	0,002
2,1000	0,004
2,1250	0,005
2,1500	0,007
2,1750	0,003
2,2000	0,003
2,2250	0,009
2,2500	0,010
2,2750	0,002
2,3000	0,002
2,3250	0,009
2,3500	0,010
2,3750	0,005
2,4000	0,008
2,4250	0,004
2,4500	0,005
2,4750	0,005
2,5000	0,007
2,5250	0,004
2,5500	0,004
2,5750	0,007
2,6000	0,008
2,6250	0,003
2,6500	0,005
2,6750	0,008
2,7000	0,008
2,7250	6,104E-4
2,7500	6,104E-4
2,7750	0,004
2,8000	0,005
2,8250	0,005
2,8500	0,006
2,8750	0,001
2,9000	0,002
2,9250	0,009
2,9500	0,010
2,9750	0,002
3,0000	0,003
3,0250	0,004
3,0500	0,005
3,0750	0,005
3,1000	0,006
3,1250	0,004
3,1500	0,004
3,1750	0,001
3,2000	0,002
3,2250	0,005
3,2500	0,006
3,2750	0,009
3,3000	0,008
3,3250	0,003
3,3500	0,006
3,3750	0,005
3,4000	0,007
3,4250	0,002
