Voltage, ChB, Run #4
Time ( s )	Voltage ( V )
8,7750	0,045
8,8000	0,038
8,8250	0,040
8,8500	0,042
8,8750	0,045
8,9000	0,044
8,9250	0,045
8,9500	0,046
8,9750	0,047
9,0000	0,043
9,0250	0,044
9,0500	0,050
9,0750	0,052
9,1000	0,048
9,1250	0,047
9,1500	0,048
9,1750	0,050
9,2000	0,045
9,2250	0,046
9,2500	0,053
9,2750	0,053
9,3000	0,051
9,3250	0,051
9,3500	0,052
9,3750	0,054
9,4000	0,052
9,4250	0,051
9,4500	0,051
9,4750	0,049
9,5000	0,051
9,5250	0,053
9,5500	0,057
9,5750	0,059
9,6000	0,060
9,6250	0,060
9,6500	0,057
9,6750	0,056
9,7000	0,054
9,7250	0,057
9,7500	0,059
9,7750	0,059
9,8000	0,059
9,8250	0,061
9,8500	0,056
9,8750	0,057
9,9000	0,052
9,9250	0,054
9,9500	0,058
9,9750	0,056
10,0000	0,060
10,0250	0,062
10,0500	0,062
10,0750	0,064
10,1000	0,064
10,1250	0,065
10,1500	0,062
10,1750	0,061
10,2000	0,063
10,2250	0,065
10,2500	0,065
10,2750	0,068
10,3000	0,070
10,3250	0,071
10,3500	0,066
10,3750	0,067
10,4000	0,071
10,4250	0,073
10,4500	0,064
10,4750	0,068
10,5000	0,068
10,5250	0,068
10,5500	0,069
10,5750	0,068
10,6000	0,072
10,6250	0,074
10,6500	0,068
10,6750	0,068
10,7000	0,077
10,7250	0,078
10,7500	0,070
10,7750	0,070
10,8000	0,078
10,8250	0,079
10,8500	0,079
10,8750	0,081
10,9000	0,077
10,9250	0,078
10,9500	0,071
10,9750	0,073
11,0000	0,076
11,0250	0,079
11,0500	0,074
11,0750	0,076
11,1000	0,084
11,1250	0,084
11,1500	0,078
11,1750	0,078
11,2000	0,078
11,2250	0,082
11,2500	0,081
11,2750	0,078
11,3000	0,079
11,3250	0,085
11,3500	0,087
11,3750	0,081
11,4000	0,082
11,4250	0,086
11,4500	0,086
11,4750	0,079
11,5000	0,080
11,5250	0,087
11,5500	0,088
11,5750	0,083
11,6000	0,084
11,6250	0,090
11,6500	0,090
11,6750	0,084
11,7000	0,084
11,7250	0,090
11,7500	0,090
11,7750	0,084
11,8000	0,087
11,8250	0,091
11,8500	0,091
11,8750	0,092
11,9000	0,091
11,9250	0,094
11,9500	0,094
11,9750	0,089
12,0000	0,089
12,0250	0,096
12,0500	0,095
12,0750	0,097
12,1000	0,096
12,1250	0,094
12,1500	0,093
12,1750	0,086
12,2000	0,088
12,2250	0,097
12,2500	0,099
12,2750	0,092
12,3000	0,093
12,3250	0,098
12,3500	0,098
12,3750	0,103
12,4000	0,103
12,4250	0,102
12,4500	0,103
12,4750	0,097
12,5000	0,098
12,5250	0,101
12,5500	0,100
12,5750	0,102
12,6000	0,101
12,6250	0,103
12,6500	0,103
12,6750	0,108
12,7000	0,110
12,7250	0,103
12,7500	0,106
12,7750	0,101
12,8000	0,101
12,8250	0,100
12,8500	0,098
12,8750	0,106
12,9000	0,106
12,9250	0,103
12,9500	0,105
12,9750	0,101
13,0000	0,104
13,0250	0,105
13,0500	0,106
13,0750	0,112
13,1000	0,112
13,1250	0,107
13,1500	0,109
13,1750	0,107
13,2000	0,109
13,2250	0,114
13,2500	0,114
13,2750	0,111
13,3000	0,114
13,3250	0,106
13,3500	0,107
13,3750	0,116
13,4000	0,116
13,4250	0,111
13,4500	0,112
13,4750	0,114
13,5000	0,115
13,5250	0,106
13,5500	0,107
13,5750	0,120
13,6000	0,120
13,6250	0,112
13,6500	0,114
13,6750	0,119
13,7000	0,121
13,7250	0,114
13,7500	0,113
13,7750	0,118
13,8000	0,117
13,8250	0,112
13,8500	0,114
13,8750	0,122
13,9000	0,125
13,9250	0,120
13,9500	0,120
13,9750	0,118
14,0000	0,118
14,0250	0,115
14,0500	0,115
14,0750	0,121
14,1000	0,123
14,1250	0,115
14,1500	0,117
14,1750	0,124
14,2000	0,127
14,2250	0,118
14,2500	0,120
14,2750	0,123
14,3000	0,123
14,3250	0,118
14,3500	0,118
14,3750	0,121
14,4000	0,124
14,4250	0,120
14,4500	0,122
14,4750	0,125
14,5000	0,125
14,5250	0,123
14,5500	0,121
14,5750	0,129
14,6000	0,128
14,6250	0,127
14,6500	0,127
14,6750	0,125
14,7000	0,127
14,7250	0,120
14,7500	0,124
14,7750	0,129
14,8000	0,131
14,8250	0,126
14,8500	0,126
14,8750	0,136
14,9000	0,134
14,9250	0,127
14,9500	0,130
14,9750	0,130
15,0000	0,131
15,0250	0,128
15,0500	0,128
15,0750	0,132
15,1000	0,132
15,1250	0,132
15,1500	0,131
15,1750	0,132
15,2000	0,131
15,2250	0,129
15,2500	0,129
15,2750	0,131
15,3000	0,132
15,3250	0,136
15,3500	0,139
15,3750	0,141
15,4000	0,143
15,4250	0,137
15,4500	0,137
15,4750	0,137
15,5000	0,136
15,5250	0,132
15,5500	0,132
15,5750	0,143
15,6000	0,142
15,6250	0,136
15,6500	0,137
15,6750	0,132
15,7000	0,136
15,7250	0,137
15,7500	0,138
15,7750	0,137
15,8000	0,141
15,8250	0,140
15,8500	0,139
15,8750	0,142
15,9000	0,141
15,9250	0,144
15,9500	0,145
15,9750	0,140
16,0000	0,140
16,0250	0,138
16,0500	0,139
16,0750	0,140
16,1000	0,143
16,1250	0,145
16,1500	0,146
16,1750	0,136
16,2000	0,139
16,2250	0,146
16,2500	0,148
16,2750	0,142
16,3000	0,144
16,3250	0,150
16,3500	0,150
16,3750	0,142
16,4000	0,142
16,4250	0,148
16,4500	0,147
16,4750	0,143
16,5000	0,142
16,5250	0,148
16,5500	0,148
16,5750	0,154
16,6000	0,154
16,6250	0,156
16,6500	0,155
16,6750	0,151
16,7000	0,152
16,7250	0,151
16,7500	0,154
16,7750	0,156
16,8000	0,158
16,8250	0,164
16,8500	0,166
16,8750	0,162
16,9000	0,164
16,9250	0,162
16,9500	0,163
16,9750	0,165
17,0000	0,166
17,0250	0,173
17,0500	0,174
17,0750	0,182
17,1000	0,181
17,1250	0,181
17,1500	0,179
17,1750	0,190
17,2000	0,189
17,2250	0,192
17,2500	0,192
17,2750	0,206
17,3000	0,206
17,3250	0,206
17,3500	0,206
17,3750	0,219
17,4000	0,217
17,4250	0,217
17,4500	0,217
17,4750	0,222
17,5000	0,221
17,5250	0,225
17,5500	0,224
17,5750	0,226
17,6000	0,226
17,6250	0,229
17,6500	0,228
17,6750	0,232
17,7000	0,228
17,7250	0,231
17,7500	0,225
17,7750	0,229
17,8000	0,229
17,8250	0,232
17,8500	0,229
17,8750	0,230
17,9000	0,223
17,9250	0,225
17,9500	0,225
17,9750	0,226
18,0000	0,228
18,0250	0,228
18,0500	0,230
18,0750	0,231
18,1000	0,236
18,1250	0,236
18,1500	0,232
18,1750	0,229
18,2000	0,229
18,2250	0,228
18,2500	0,229
18,2750	0,231
18,3000	0,234
18,3250	0,236
18,3500	0,236
18,3750	0,236
18,4000	0,229
18,4250	0,231
18,4500	0,229
18,4750	0,231
18,5000	0,233
18,5250	0,235
18,5500	0,226
18,5750	0,226
18,6000	0,229
18,6250	0,232
18,6500	0,231
18,6750	0,230
18,7000	0,225
18,7250	0,223
18,7500	0,220
18,7750	0,219
18,8000	0,221
18,8250	0,221
18,8500	0,218
18,8750	0,221
18,9000	0,213
18,9250	0,214
18,9500	0,214
18,9750	0,215
19,0000	0,214
19,0250	0,214
19,0500	0,211
19,0750	0,209
19,1000	0,208
19,1250	0,208
19,1500	0,210
19,1750	0,211
19,2000	0,197
19,2250	0,198
19,2500	0,201
19,2750	0,204
19,3000	0,201
19,3250	0,202
19,3500	0,201
19,3750	0,200
19,4000	0,197
19,4250	0,197
19,4500	0,195
19,4750	0,195
19,5000	0,191
19,5250	0,193
19,5500	0,192
19,5750	0,193
19,6000	0,186
19,6250	0,186
19,6500	0,187
19,6750	0,187
19,7000	0,189
19,7250	0,187
19,7500	0,185
19,7750	0,186
19,8000	0,184
19,8250	0,184
19,8500	0,186
19,8750	0,184
19,9000	0,179
19,9250	0,179
19,9500	0,181
19,9750	0,182
20,0000	0,182
20,0250	0,181
20,0500	0,181
20,0750	0,181
20,1000	0,181
20,1250	0,180
20,1500	0,180
20,1750	0,179
20,2000	0,178
20,2250	0,178
20,2500	0,181
20,2750	0,181
20,3000	0,186
20,3250	0,186
20,3500	0,187
20,3750	0,189
20,4000	0,186
20,4250	0,187
20,4500	0,186
20,4750	0,186
20,5000	0,192
20,5250	0,193
20,5500	0,195
20,5750	0,195
20,6000	0,190
20,6250	0,192
20,6500	0,192
20,6750	0,192
20,7000	0,204
20,7250	0,205
20,7500	0,201
20,7750	0,204
20,8000	0,206
20,8250	0,209
20,8500	0,203
20,8750	0,201
20,9000	0,204
20,9250	0,204
20,9500	0,206
20,9750	0,206
21,0000	0,206
21,0250	0,207
21,0500	0,206
21,0750	0,205
21,1000	0,206
21,1250	0,206
21,1500	0,202
21,1750	0,203
21,2000	0,205
21,2250	0,206
21,2500	0,209
21,2750	0,207
21,3000	0,200
21,3250	0,200
21,3500	0,204
21,3750	0,206
21,4000	0,198
21,4250	0,200
21,4500	0,203
21,4750	0,202
21,5000	0,204
21,5250	0,206
21,5500	0,204
21,5750	0,204
21,6000	0,203
21,6250	0,201
21,6500	0,202
21,6750	0,202
21,7000	0,204
21,7250	0,206
21,7500	0,206
21,7750	0,208
21,8000	0,205
21,8250	0,206
21,8500	0,206
21,8750	0,208
21,9000	0,206
21,9250	0,205
21,9500	0,206
21,9750	0,208
22,0000	0,210
22,0250	0,209
22,0500	0,200
22,0750	0,201
22,1000	0,209
22,1250	0,212
22,1500	0,207
22,1750	0,207
22,2000	0,213
22,2250	0,211
22,2500	0,203
22,2750	0,203
22,3000	0,206
22,3250	0,206
22,3500	0,203
22,3750	0,204
22,4000	0,208
22,4250	0,208
22,4500	0,204
22,4750	0,206
22,5000	0,209
22,5250	0,208
22,5500	0,201
22,5750	0,201
22,6000	0,204
22,6250	0,205
22,6500	0,209
22,6750	0,209
22,7000	0,208
22,7250	0,208
22,7500	0,206
22,7750	0,208
22,8000	0,208
22,8250	0,209
22,8500	0,199
22,8750	0,198
22,9000	0,214
22,9250	0,214
22,9500	0,205
22,9750	0,206
23,0000	0,215
23,0250	0,215
23,0500	0,209
23,0750	0,208
23,1000	0,213
23,1250	0,213
23,1500	0,209
23,1750	0,210
23,2000	0,215
23,2250	0,214
23,2500	0,209
23,2750	0,211
23,3000	0,212
23,3250	0,215
23,3500	0,211
23,3750	0,209
23,4000	0,222
23,4250	0,222
23,4500	0,214
23,4750	0,216
23,5000	0,219
23,5250	0,220
23,5500	0,214
23,5750	0,214
23,6000	0,222
23,6250	0,225
23,6500	0,220
23,6750	0,221
23,7000	0,221
23,7250	0,220
23,7500	0,215
23,7750	0,219
23,8000	0,227
23,8250	0,228
23,8500	0,225
23,8750	0,228
23,9000	0,226
23,9250	0,227
23,9500	0,222
23,9750	0,223
24,0000	0,226
24,0250	0,229
24,0500	0,226
24,0750	0,226
24,1000	0,229
24,1250	0,230
24,1500	0,230
24,1750	0,232
24,2000	0,233
24,2250	0,227
24,2500	0,228
24,2750	0,231
24,3000	0,228
24,3250	0,234
24,3500	0,234
24,3750	0,232
24,4000	0,235
24,4250	0,233
24,4500	0,232
24,4750	0,232
24,5000	0,234
24,5250	0,231
24,5500	0,232
24,5750	0,240
24,6000	0,239
24,6250	0,239
24,6500	0,241
24,6750	0,231
24,7000	0,232
24,7250	0,239
24,7500	0,239
24,7750	0,239
24,8000	0,242
24,8250	0,242
24,8500	0,242
24,8750	0,240
24,9000	0,240
24,9250	0,239
24,9500	0,239
24,9750	0,238
25,0000	0,239
25,0250	0,241
25,0500	0,240
25,0750	0,245
25,1000	0,244
25,1250	0,245
25,1500	0,248
25,1750	0,246
25,2000	0,246
25,2250	0,242
25,2500	0,242
25,2750	0,242
25,3000	0,246
25,3250	0,244
25,3500	0,245
25,3750	0,253
25,4000	0,253
25,4250	0,243
25,4500	0,244
25,4750	0,248
25,5000	0,250
25,5250	0,254
25,5500	0,254
25,5750	0,256
25,6000	0,255
25,6250	0,251
25,6500	0,253
25,6750	0,253
25,7000	0,255
25,7250	0,249
25,7500	0,248
25,7750	0,255
25,8000	0,256
25,8250	0,249
25,8500	0,249
25,8750	0,259
25,9000	0,258
25,9250	0,252
25,9500	0,253
25,9750	0,253
26,0000	0,255
26,0250	0,258
26,0500	0,258
26,0750	0,261
26,1000	0,262
26,1250	0,254
26,1500	0,253
26,1750	0,260
26,2000	0,262
26,2250	0,258
26,2500	0,259
26,2750	0,262
26,3000	0,262
26,3250	0,257
26,3500	0,258
26,3750	0,262
26,4000	0,264
26,4250	0,259
26,4500	0,259
26,4750	0,264
26,5000	0,264
26,5250	0,261
26,5500	0,264
26,5750	0,266
26,6000	0,267
26,6250	0,263
26,6500	0,262
26,6750	0,265
26,7000	0,266
26,7250	0,266
26,7500	0,267
26,7750	0,272
26,8000	0,273
26,8250	0,264
26,8500	0,266
26,8750	0,270
26,9000	0,272
26,9250	0,266
26,9500	0,264
26,9750	0,273
27,0000	0,272
27,0250	0,270
27,0500	0,272
27,0750	0,270
27,1000	0,272
27,1250	0,266
27,1500	0,266
27,1750	0,273
27,2000	0,273
27,2250	0,274
27,2500	0,274
27,2750	0,277
27,3000	0,279
27,3250	0,274
27,3500	0,278
27,3750	0,271
27,4000	0,271
27,4250	0,281
27,4500	0,280
27,4750	0,278
27,5000	0,279
27,5250	0,278
27,5500	0,282
27,5750	0,269
27,6000	0,269
27,6250	0,276
27,6500	0,276
27,6750	0,274
