X,CH1,CH2,
Second,Volt,Volt,
-3.62e-04,2.48e+00,2.08e+00
-3.60e-04,2.56e+00,2.24e+00
-3.58e-04,2.96e+00,2.56e+00
-3.56e-04,3.12e+00,2.64e+00
-3.54e-04,3.36e+00,2.88e+00
-3.52e-04,3.44e+00,2.96e+00
-3.50e-04,3.68e+00,3.20e+00
-3.48e-04,3.76e+00,3.28e+00
-3.46e-04,4.00e+00,3.44e+00
-3.44e-04,4.00e+00,3.44e+00
-3.42e-04,4.08e+00,3.52e+00
-3.40e-04,4.16e+00,3.52e+00
-3.38e-04,4.24e+00,3.60e+00
-3.36e-04,4.24e+00,3.60e+00
-3.34e-04,4.08e+00,3.52e+00
-3.32e-04,4.08e+00,3.44e+00
-3.30e-04,4.00e+00,3.44e+00
-3.28e-04,3.92e+00,3.36e+00
-3.26e-04,3.76e+00,3.20e+00
-3.24e-04,3.68e+00,3.20e+00
-3.22e-04,3.36e+00,2.88e+00
-3.20e-04,3.36e+00,2.88e+00
-3.18e-04,2.96e+00,2.56e+00
-3.16e-04,2.88e+00,2.40e+00
-3.14e-04,2.48e+00,2.08e+00
-3.12e-04,2.32e+00,2.00e+00
-3.10e-04,1.92e+00,1.68e+00
-3.08e-04,1.76e+00,1.52e+00
-3.06e-04,1.36e+00,1.12e+00
-3.04e-04,1.12e+00,9.60e-01
-3.02e-04,7.20e-01,6.40e-01
-3.00e-04,5.60e-01,4.00e-01
-2.98e-04,0.00e+00,0.00e+00
-2.96e-04,-1.60e-01,-7.99e-02
-2.94e-04,-6.40e-01,-5.60e-01
-2.92e-04,-8.80e-01,-7.20e-01
-2.90e-04,-1.28e+00,-1.12e+00
-2.88e-04,-1.44e+00,-1.28e+00
-2.86e-04,-1.84e+00,-1.68e+00
-2.84e-04,-2.08e+00,-1.76e+00
-2.82e-04,-2.40e+00,-2.16e+00
-2.80e-04,-2.64e+00,-2.24e+00
-2.78e-04,-2.88e+00,-2.56e+00
-2.76e-04,-3.04e+00,-2.56e+00
-2.74e-04,-3.36e+00,-2.88e+00
-2.72e-04,-3.44e+00,-2.96e+00
-2.70e-04,-3.68e+00,-3.20e+00
-2.68e-04,-3.76e+00,-3.28e+00
-2.66e-04,-4.00e+00,-3.36e+00
-2.64e-04,-4.00e+00,-3.44e+00
-2.62e-04,-4.08e+00,-3.52e+00
-2.60e-04,-4.08e+00,-3.60e+00
-2.58e-04,-4.16e+00,-3.52e+00
-2.56e-04,-4.08e+00,-3.52e+00
-2.54e-04,-4.08e+00,-3.60e+00
-2.52e-04,-4.00e+00,-3.52e+00
-2.50e-04,-3.92e+00,-3.36e+00
-2.48e-04,-3.92e+00,-3.36e+00
-2.46e-04,-3.68e+00,-3.12e+00
-2.44e-04,-3.60e+00,-3.12e+00
-2.42e-04,-3.36e+00,-2.88e+00
-2.40e-04,-3.28e+00,-2.80e+00
-2.38e-04,-2.88e+00,-2.56e+00
-2.36e-04,-2.80e+00,-2.40e+00
-2.34e-04,-2.40e+00,-2.08e+00
-2.32e-04,-2.32e+00,-2.00e+00
-2.30e-04,-1.84e+00,-1.60e+00
-2.28e-04,-1.76e+00,-1.44e+00
-2.26e-04,-1.28e+00,-1.12e+00
-2.24e-04,-1.12e+00,-9.60e-01
-2.22e-04,-6.40e-01,-5.60e-01
-2.20e-04,-4.80e-01,-4.00e-01
-2.18e-04,7.99e-02,0.00e+00
-2.16e-04,2.40e-01,2.40e-01
-2.14e-04,7.20e-01,6.40e-01
-2.12e-04,8.80e-01,7.20e-01
-2.10e-04,1.36e+00,1.20e+00
-2.08e-04,1.44e+00,1.28e+00
-2.06e-04,2.00e+00,1.68e+00
-2.04e-04,2.08e+00,1.76e+00
-2.02e-04,2.56e+00,2.16e+00
-2.00e-04,2.64e+00,2.32e+00
-1.98e-04,3.04e+00,2.64e+00
-1.96e-04,3.12e+00,2.72e+00
-1.94e-04,3.36e+00,2.88e+00
-1.92e-04,3.52e+00,3.04e+00
-1.90e-04,3.76e+00,3.20e+00
-1.88e-04,3.84e+00,3.28e+00
-1.86e-04,4.00e+00,3.44e+00
-1.84e-04,4.08e+00,3.44e+00
-1.82e-04,4.16e+00,3.52e+00
-1.80e-04,4.16e+00,3.52e+00
-1.78e-04,4.24e+00,3.60e+00
-1.76e-04,4.16e+00,3.52e+00
-1.74e-04,4.16e+00,3.60e+00
-1.72e-04,4.08e+00,3.44e+00
-1.70e-04,3.92e+00,3.44e+00
-1.68e-04,3.92e+00,3.36e+00
-1.66e-04,3.68e+00,3.20e+00
-1.64e-04,3.68e+00,3.12e+00
-1.62e-04,3.36e+00,2.88e+00
-1.60e-04,3.28e+00,2.80e+00
-1.58e-04,2.96e+00,2.56e+00
-1.56e-04,2.80e+00,2.40e+00
-1.54e-04,2.40e+00,2.00e+00
-1.52e-04,2.24e+00,2.00e+00
-1.50e-04,1.84e+00,1.52e+00
-1.48e-04,1.68e+00,1.44e+00
-1.46e-04,1.20e+00,1.04e+00
-1.44e-04,1.12e+00,8.80e-01
-1.42e-04,6.40e-01,5.60e-01
-1.40e-04,4.80e-01,3.20e-01
-1.38e-04,-7.99e-02,0.00e+00
-1.36e-04,-2.40e-01,-2.40e-01
-1.34e-04,-7.20e-01,-6.40e-01
-1.32e-04,-8.80e-01,-8.00e-01
-1.30e-04,-1.36e+00,-1.20e+00
-1.28e-04,-1.52e+00,-1.36e+00
-1.26e-04,-2.00e+00,-1.68e+00
-1.24e-04,-2.08e+00,-1.84e+00
-1.22e-04,-2.48e+00,-2.16e+00
-1.20e-04,-2.64e+00,-2.24e+00
-1.18e-04,-2.96e+00,-2.56e+00
-1.16e-04,-3.12e+00,-2.72e+00
-1.14e-04,-3.44e+00,-2.96e+00
-1.12e-04,-3.52e+00,-3.04e+00
-1.10e-04,-3.68e+00,-3.20e+00
-1.08e-04,-3.76e+00,-3.28e+00
-1.06e-04,-4.00e+00,-3.36e+00
-1.04e-04,-4.00e+00,-3.44e+00
-1.02e-04,-4.08e+00,-3.52e+00
-1.00e-04,-4.08e+00,-3.52e+00
-9.80e-05,-4.08e+00,-3.60e+00
