Voltage, ChA, Run #4
Time ( s )	Voltage ( V )
8,8000	0,066
8,8250	0,067
8,8500	0,068
8,8750	0,069
8,9000	0,067
8,9250	0,068
8,9500	0,065
8,9750	0,068
9,0000	0,068
9,0250	0,068
9,0500	0,068
9,0750	0,071
9,1000	0,068
9,1250	0,070
9,1500	0,068
9,1750	0,071
9,2000	0,071
9,2250	0,070
9,2500	0,068
9,2750	0,073
9,3000	0,071
9,3250	0,071
9,3500	0,073
9,3750	0,073
9,4000	0,070
9,4250	0,075
9,4500	0,074
9,4750	0,075
9,5000	0,075
9,5250	0,076
9,5500	0,073
9,5750	0,079
9,6000	0,076
9,6250	0,078
9,6500	0,076
9,6750	0,078
9,7000	0,075
9,7250	0,078
9,7500	0,074
9,7750	0,078
9,8000	0,077
9,8250	0,079
9,8500	0,076
9,8750	0,080
9,9000	0,080
9,9250	0,079
9,9500	0,078
9,9750	0,082
10,0000	0,082
10,0250	0,079
10,0500	0,079
10,0750	0,082
10,1000	0,079
10,1250	0,082
10,1500	0,082
10,1750	0,082
10,2000	0,081
10,2250	0,083
10,2500	0,082
10,2750	0,082
10,3000	0,082
10,3250	0,084
10,3500	0,082
10,3750	0,085
10,4000	0,084
10,4250	0,082
10,4500	0,083
10,4750	0,085
10,5000	0,084
10,5250	0,085
10,5500	0,085
10,5750	0,087
10,6000	0,084
10,6250	0,089
10,6500	0,087
10,6750	0,087
10,7000	0,084
10,7250	0,089
10,7500	0,087
10,7750	0,087
10,8000	0,086
10,8250	0,089
10,8500	0,087
10,8750	0,087
10,9000	0,087
10,9250	0,089
10,9500	0,087
10,9750	0,090
11,0000	0,089
11,0250	0,090
11,0500	0,088
11,0750	0,092
11,1000	0,090
11,1250	0,092
11,1500	0,089
11,1750	0,093
11,2000	0,091
11,2250	0,093
11,2500	0,093
11,2750	0,095
11,3000	0,093
11,3250	0,095
11,3500	0,093
11,3750	0,093
11,4000	0,092
11,4250	0,097
11,4500	0,093
11,4750	0,095
11,5000	0,095
11,5250	0,099
11,5500	0,094
11,5750	0,097
11,6000	0,096
11,6250	0,098
11,6500	0,096
11,6750	0,098
11,7000	0,097
11,7250	0,098
11,7500	0,095
11,7750	0,099
11,8000	0,098
11,8250	0,100
11,8500	0,096
11,8750	0,100
11,9000	0,099
11,9250	0,101
11,9500	0,099
11,9750	0,099
12,0000	0,099
12,0250	0,099
12,0500	0,100
12,0750	0,098
12,1000	0,101
12,1250	0,099
12,1500	0,100
12,1750	0,098
12,2000	0,101
12,2250	0,103
12,2500	0,103
12,2750	0,100
12,3000	0,103
12,3250	0,102
12,3500	0,103
12,3750	0,103
12,4000	0,104
12,4250	0,102
12,4500	0,103
12,4750	0,103
12,5000	0,106
12,5250	0,104
12,5500	0,104
12,5750	0,104
12,6000	0,106
12,6250	0,104
12,6500	0,104
12,6750	0,104
12,7000	0,107
12,7250	0,105
12,7500	0,106
12,7750	0,105
12,8000	0,108
12,8250	0,107
12,8500	0,107
12,8750	0,109
12,9000	0,109
12,9250	0,107
12,9500	0,107
12,9750	0,107
13,0000	0,112
13,0250	0,109
13,0500	0,110
13,0750	0,110
13,1000	0,112
13,1250	0,112
13,1500	0,111
13,1750	0,110
13,2000	0,112
13,2250	0,114
13,2500	0,114
13,2750	0,113
13,3000	0,112
13,3250	0,113
13,3500	0,115
13,3750	0,113
13,4000	0,114
13,4250	0,114
13,4500	0,114
13,4750	0,114
13,5000	0,118
13,5250	0,115
13,5500	0,117
13,5750	0,117
13,6000	0,118
13,6250	0,115
13,6500	0,118
13,6750	0,116
13,7000	0,119
13,7250	0,117
13,7500	0,117
13,7750	0,116
13,8000	0,122
13,8250	0,119
13,8500	0,119
13,8750	0,118
13,9000	0,120
13,9250	0,119
13,9500	0,119
13,9750	0,118
14,0000	0,121
14,0250	0,120
14,0500	0,121
14,0750	0,120
14,1000	0,122
14,1250	0,122
14,1500	0,123
14,1750	0,121
14,2000	0,122
14,2250	0,123
14,2500	0,123
14,2750	0,121
14,3000	0,123
14,3250	0,124
14,3500	0,123
14,3750	0,123
14,4000	0,126
14,4250	0,125
14,4500	0,126
14,4750	0,124
14,5000	0,128
14,5250	0,126
14,5500	0,126
14,5750	0,127
14,6000	0,128
14,6250	0,126
14,6500	0,127
14,6750	0,127
14,7000	0,127
14,7250	0,126
14,7500	0,128
14,7750	0,127
14,8000	0,128
14,8250	0,127
14,8500	0,129
14,8750	0,130
14,9000	0,129
14,9250	0,128
14,9500	0,128
14,9750	0,128
15,0000	0,130
15,0250	0,128
15,0500	0,132
15,0750	0,131
15,1000	0,132
15,1250	0,131
15,1500	0,132
15,1750	0,132
15,2000	0,133
15,2250	0,132
15,2500	0,134
15,2750	0,132
15,3000	0,132
15,3250	0,132
15,3500	0,136
15,3750	0,134
15,4000	0,135
15,4250	0,136
15,4500	0,136
15,4750	0,136
15,5000	0,135
15,5250	0,136
15,5500	0,136
15,5750	0,134
15,6000	0,137
15,6250	0,137
15,6500	0,137
15,6750	0,137
15,7000	0,139
15,7250	0,136
15,7500	0,139
15,7750	0,138
15,8000	0,142
15,8250	0,139
15,8500	0,139
15,8750	0,139
15,9000	0,140
15,9250	0,138
15,9500	0,140
15,9750	0,139
16,0000	0,142
16,0250	0,141
16,0500	0,142
16,0750	0,140
16,1000	0,143
16,1250	0,143
16,1500	0,143
16,1750	0,141
16,2000	0,143
16,2250	0,143
16,2500	0,143
16,2750	0,143
16,3000	0,146
16,3250	0,143
16,3500	0,145
16,3750	0,145
16,4000	0,146
16,4250	0,145
16,4500	0,146
16,4750	0,145
16,5000	0,147
16,5250	0,146
16,5500	0,146
16,5750	0,145
16,6000	0,148
16,6250	0,148
16,6500	0,147
16,6750	0,146
16,7000	0,150
16,7250	0,148
16,7500	0,148
16,7750	0,148
16,8000	0,151
