Voltage, ChB, Run #8
Time ( s )	Voltage ( V )
0,0000	0,020
0,0250	0,016
0,0500	0,017
0,0750	0,022
0,1000	0,020
0,1250	0,020
0,1500	0,021
0,1750	0,016
0,2000	0,017
0,2250	0,015
0,2500	0,018
0,2750	0,016
0,3000	0,018
0,3250	0,012
0,3500	0,014
0,3750	0,020
0,4000	0,023
0,4250	0,015
0,4500	0,017
0,4750	0,020
0,5000	0,020
0,5250	0,016
0,5500	0,019
0,5750	0,016
0,6000	0,020
0,6250	0,016
0,6500	0,016
0,6750	0,018
0,7000	0,019
0,7250	0,016
0,7500	0,018
0,7750	0,016
0,8000	0,016
0,8250	0,015
0,8500	0,016
0,8750	0,018
0,9000	0,021
0,9250	0,017
0,9500	0,016
0,9750	0,015
1,0000	0,016
1,0250	0,015
1,0500	0,016
1,0750	0,015
1,1000	0,016
1,1250	0,013
1,1500	0,014
1,1750	0,016
1,2000	0,017
1,2250	0,020
1,2500	0,020
1,2750	0,016
1,3000	0,019
1,3250	0,013
1,3500	0,014
1,3750	0,018
1,4000	0,021
1,4250	0,015
1,4500	0,015
1,4750	0,019
1,5000	0,020
1,5250	0,015
1,5500	0,016
1,5750	0,017
1,6000	0,018
1,6250	0,017
1,6500	0,017
1,6750	0,020
1,7000	0,021
1,7250	0,016
1,7500	0,016
1,7750	0,018
1,8000	0,020
1,8250	0,012
1,8500	0,013
1,8750	0,015
1,9000	0,016
1,9250	0,020
1,9500	0,022
1,9750	0,011
2,0000	0,012
2,0250	0,018
2,0500	0,018
2,0750	0,012
2,1000	0,014
2,1250	0,021
2,1500	0,023
2,1750	0,015
2,2000	0,017
2,2250	0,019
2,2500	0,020
2,2750	0,016
2,3000	0,017
2,3250	0,018
2,3500	0,018
2,3750	0,020
2,4000	0,020
2,4250	0,017
2,4500	0,019
2,4750	0,016
2,5000	0,017
2,5250	0,019
2,5500	0,020
2,5750	0,012
2,6000	0,012
2,6250	0,017
2,6500	0,019
2,6750	0,014
2,7000	0,015
2,7250	0,020
2,7500	0,018
2,7750	0,015
2,8000	0,017
2,8250	0,018
2,8500	0,018
2,8750	0,015
2,9000	0,016
2,9250	0,020
2,9500	0,024
2,9750	0,014
3,0000	0,015
3,0250	0,020
3,0500	0,020
3,0750	0,020
3,1000	0,021
3,1250	0,021
3,1500	0,021
3,1750	0,014
3,2000	0,015
3,2250	0,023
3,2500	0,024
3,2750	0,013
3,3000	0,015
3,3250	0,018
3,3500	0,020
3,3750	0,013
3,4000	0,015
3,4250	0,016
3,4500	0,018
3,4750	0,015
3,5000	0,015
3,5250	0,020
3,5500	0,022
3,5750	0,013
3,6000	0,016
3,6250	0,018
3,6500	0,020
3,6750	0,018
3,7000	0,016
3,7250	0,016
3,7500	0,020
3,7750	0,021
3,8000	0,015
3,8250	0,015
3,8500	0,022
3,8750	0,023
3,9000	0,013
3,9250	0,014
3,9500	0,020
3,9750	0,020
4,0000	0,015
4,0250	0,015
4,0500	0,015
4,0750	0,015
4,1000	0,012
4,1250	0,010
4,1500	0,018
4,1750	0,018
4,2000	0,012
4,2250	0,013
4,2500	0,016
4,2750	0,018
4,3000	0,019
4,3250	0,016
4,3500	0,018
4,3750	0,018
4,4000	0,020
4,4250	0,020
4,4500	0,015
4,4750	0,017
4,5000	0,015
4,5250	0,015
4,5500	0,017
4,5750	0,015
4,6000	0,021
4,6250	0,021
4,6500	0,016
4,6750	0,018
4,7000	0,020
4,7250	0,020
4,7500	0,020
4,7750	0,019
4,8000	0,020
4,8250	0,020
4,8500	0,018
4,8750	0,020
4,9000	0,017
4,9250	0,016
4,9500	0,017
4,9750	0,016
5,0000	0,022
5,0250	0,023
5,0500	0,017
5,0750	0,018
5,1000	0,015
5,1250	0,015
5,1500	0,015
5,1750	0,014
5,2000	0,018
5,2250	0,020
5,2500	0,018
5,2750	0,018
5,3000	0,019
5,3250	0,020
5,3500	0,018
5,3750	0,016
5,4000	0,012
5,4250	0,012
5,4500	0,019
5,4750	0,020
5,5000	0,020
5,5250	0,019
5,5500	0,018
5,5750	0,019
5,6000	0,015
5,6250	0,016
5,6500	0,015
5,6750	0,016
5,7000	0,020
5,7250	0,017
5,7500	0,013
5,7750	0,012
5,8000	0,021
5,8250	0,023
5,8500	0,016
5,8750	0,017
5,9000	0,022
5,9250	0,020
5,9500	0,015
5,9750	0,017
6,0000	0,019
6,0250	0,020
6,0500	0,016
6,0750	0,015
6,1000	0,029
6,1250	0,029
6,1500	0,024
6,1750	0,025
6,2000	0,032
6,2250	0,033
6,2500	0,029
6,2750	0,026
6,3000	0,039
6,3250	0,039
6,3500	0,037
6,3750	0,038
6,4000	0,038
6,4250	0,038
6,4500	0,038
6,4750	0,037
6,5000	0,047
6,5250	0,047
6,5500	0,044
6,5750	0,045
6,6000	0,046
6,6250	0,048
6,6500	0,046
6,6750	0,046
6,7000	0,054
6,7250	0,053
6,7500	0,052
6,7750	0,054
6,8000	0,063
6,8250	0,064
6,8500	0,056
6,8750	0,056
6,9000	0,060
6,9250	0,060
6,9500	0,063
6,9750	0,065
7,0000	0,068
7,0250	0,068
7,0500	0,073
7,0750	0,072
7,1000	0,074
7,1250	0,076
7,1500	0,070
7,1750	0,071
7,2000	0,078
7,2250	0,078
7,2500	0,076
7,2750	0,076
7,3000	0,083
7,3250	0,084
7,3500	0,078
7,3750	0,078
7,4000	0,092
7,4250	0,090
7,4500	0,087
7,4750	0,088
7,5000	0,094
7,5250	0,093
7,5500	0,090
7,5750	0,089
7,6000	0,103
7,6250	0,103
7,6500	0,098
7,6750	0,101
7,7000	0,103
7,7250	0,104
7,7500	0,101
7,7750	0,102
7,8000	0,114
7,8250	0,117
7,8500	0,111
7,8750	0,110
7,9000	0,116
7,9250	0,116
7,9500	0,113
7,9750	0,114
8,0000	0,124
8,0250	0,123
8,0500	0,120
8,0750	0,120
8,1000	0,123
8,1250	0,126
8,1500	0,126
8,1750	0,126
8,2000	0,132
8,2250	0,132
8,2500	0,132
8,2750	0,134
8,3000	0,132
8,3250	0,134
8,3500	0,132
8,3750	0,132
8,4000	0,146
8,4250	0,148
8,4500	0,143
8,4750	0,145
8,5000	0,148
8,5250	0,150
8,5500	0,147
8,5750	0,150
8,6000	0,158
8,6250	0,157
8,6500	0,154
8,6750	0,157
8,7000	0,159
8,7250	0,159
8,7500	0,157
8,7750	0,158
8,8000	0,167
8,8250	0,168
8,8500	0,167
8,8750	0,168
8,9000	0,170
8,9250	0,171
8,9500	0,167
8,9750	0,171
9,0000	0,178
9,0250	0,178
9,0500	0,176
9,0750	0,178
9,1000	0,191
9,1250	0,193
9,1500	0,179
9,1750	0,179
9,2000	0,187
9,2250	0,188
9,2500	0,192
9,2750	0,194
9,3000	0,193
9,3250	0,193
9,3500	0,192
9,3750	0,195
9,4000	0,199
9,4250	0,202
9,4500	0,199
9,4750	0,198
9,5000	0,201
9,5250	0,204
9,5500	0,200
9,5750	0,203
9,6000	0,209
9,6250	0,209
9,6500	0,205
9,6750	0,208
9,7000	0,213
9,7250	0,213
9,7500	0,213
9,7750	0,215
9,8000	0,222
9,8250	0,223
9,8500	0,217
9,8750	0,217
9,9000	0,217
9,9250	0,220
9,9500	0,219
9,9750	0,223
10,0000	0,228
10,0250	0,226
10,0500	0,232
10,0750	0,233
10,1000	0,229
10,1250	0,231
10,1500	0,238
10,1750	0,239
10,2000	0,238
10,2250	0,239
10,2500	0,238
10,2750	0,239
10,3000	0,242
10,3250	0,243
10,3500	0,244
10,3750	0,245
10,4000	0,244
10,4250	0,247
10,4500	0,253
10,4750	0,251
10,5000	0,253
10,5250	0,254
10,5500	0,255
10,5750	0,258
10,6000	0,257
10,6250	0,256
10,6500	0,262
10,6750	0,262
10,7000	0,261
10,7250	0,262
10,7500	0,266
10,7750	0,267
10,8000	0,263
10,8250	0,266
10,8500	0,268
10,8750	0,269
10,9000	0,268
10,9250	0,270
10,9500	0,270
10,9750	0,277
11,0000	0,277
11,0250	0,275
11,0500	0,275
11,0750	0,279
11,1000	0,279
11,1250	0,280
11,1500	0,281
11,1750	0,284
11,2000	0,284
11,2250	0,286
11,2500	0,283
11,2750	0,294
11,3000	0,295
11,3250	0,295
11,3500	0,294
11,3750	0,300
11,4000	0,300
11,4250	0,302
11,4500	0,303
11,4750	0,311
11,5000	0,309
11,5250	0,333
11,5500	0,332
11,5750	0,339
11,6000	0,340
11,6250	0,348
11,6500	0,347
11,6750	0,352
11,7000	0,352
11,7250	0,359
11,7500	0,362
11,7750	0,369
11,8000	0,368
11,8250	0,371
11,8500	0,372
11,8750	0,370
11,9000	0,372
11,9250	0,381
11,9500	0,381
11,9750	0,385
12,0000	0,385
12,0250	0,380
12,0500	0,381
12,0750	0,389
12,1000	0,387
12,1250	0,386
12,1500	0,389
12,1750	0,390
12,2000	0,391
12,2250	0,388
12,2500	0,386
12,2750	0,388
12,3000	0,389
12,3250	0,381
12,3500	0,380
12,3750	0,385
12,4000	0,386
12,4250	0,384
12,4500	0,383
12,4750	0,387
12,5000	0,388
12,5250	0,379
12,5500	0,381
12,5750	0,382
12,6000	0,383
12,6250	0,384
12,6500	0,386
12,6750	0,378
12,7000	0,378
12,7250	0,379
12,7500	0,380
12,7750	0,379
12,8000	0,380
12,8250	0,385
12,8500	0,385
12,8750	0,386
12,9000	0,388
12,9250	0,391
12,9500	0,389
12,9750	0,389
13,0000	0,389
13,0250	0,400
13,0500	0,399
13,0750	0,400
13,1000	0,400
13,1250	0,400
13,1500	0,401
13,1750	0,396
13,2000	0,396
13,2250	0,408
13,2500	0,409
13,2750	0,399
13,3000	0,397
13,3250	0,406
13,3500	0,406
13,3750	0,403
13,4000	0,403
13,4250	0,411
13,4500	0,413
13,4750	0,414
13,5000	0,413
13,5250	0,413
13,5500	0,411
13,5750	0,412
13,6000	0,411
13,6250	0,414
13,6500	0,413
13,6750	0,414
13,7000	0,416
13,7250	0,417
13,7500	0,416
13,7750	0,415
13,8000	0,417
13,8250	0,422
13,8500	0,423
13,8750	0,420
13,9000	0,419
13,9250	0,422
13,9500	0,422
13,9750	0,422
14,0000	0,423
14,0250	0,424
14,0500	0,425
14,0750	0,430
14,1000	0,430
14,1250	0,435
14,1500	0,438
14,1750	0,434
14,2000	0,432
14,2250	0,440
14,2500	0,441
14,2750	0,438
14,3000	0,438
14,3250	0,449
14,3500	0,451
14,3750	0,447
14,4000	0,447
14,4250	0,451
14,4500	0,452
14,4750	0,449
14,5000	0,447
14,5250	0,457
14,5500	0,458
14,5750	0,454
14,6000	0,454
14,6250	0,458
14,6500	0,460
14,6750	0,456
14,7000	0,457
14,7250	0,469
14,7500	0,471
14,7750	0,468
14,8000	0,468
14,8250	0,473
14,8500	0,473
14,8750	0,471
14,9000	0,471
14,9250	0,486
14,9500	0,485
14,9750	0,477
15,0000	0,479
15,0250	0,483
15,0500	0,484
15,0750	0,483
15,1000	0,485
15,1250	0,495
15,1500	0,495
15,1750	0,491
15,2000	0,490
15,2250	0,498
15,2500	0,497
15,2750	0,489
15,3000	0,488
15,3250	0,499
15,3500	0,500
15,3750	0,504
15,4000	0,503
15,4250	0,506
15,4500	0,508
15,4750	0,509
15,5000	0,508
15,5250	0,518
15,5500	0,519
15,5750	0,513
15,6000	0,513
15,6250	0,519
15,6500	0,519
15,6750	0,520
15,7000	0,519
15,7250	0,523
15,7500	0,524
15,7750	0,526
15,8000	0,523
15,8250	0,535
15,8500	0,538
15,8750	0,533
15,9000	0,532
15,9250	0,538
15,9500	0,540
15,9750	0,537
16,0000	0,534
16,0250	0,544
16,0500	0,546
16,0750	0,540
16,1000	0,540
16,1250	0,549
16,1500	0,551
16,1750	0,549
16,2000	0,548
16,2250	0,558
16,2500	0,560
16,2750	0,557
16,3000	0,556
16,3250	0,562
16,3500	0,562
16,3750	0,557
16,4000	0,558
16,4250	0,572
16,4500	0,571
16,4750	0,565
16,5000	0,566
16,5250	0,571
16,5500	0,569
16,5750	0,568
16,6000	0,569
16,6250	0,583
16,6500	0,582
16,6750	0,576
16,7000	0,577
16,7250	0,586
16,7500	0,585
16,7750	0,580
16,8000	0,581
16,8250	0,589
16,8500	0,588
16,8750	0,588
16,9000	0,590
16,9250	0,598
16,9500	0,598
16,9750	0,593
17,0000	0,596
17,0250	0,602
17,0500	0,604
17,0750	0,601
17,1000	0,602
17,1250	0,606
17,1500	0,605
17,1750	0,607
17,2000	0,609
17,2250	0,618
17,2500	0,616
17,2750	0,615
17,3000	0,616
17,3250	0,620
17,3500	0,618
17,3750	0,620
17,4000	0,623
17,4250	0,623
17,4500	0,622
17,4750	0,624
17,5000	0,629
17,5250	0,629
17,5500	0,636
17,5750	0,636
17,6000	0,635
17,6250	0,635
17,6500	0,637
17,6750	0,638
17,7000	0,642
17,7250	0,643
17,7500	0,644
17,7750	0,647
17,8000	0,645
17,8250	0,644
17,8500	0,653
17,8750	0,654
17,9000	0,649
17,9250	0,649
17,9500	0,657
17,9750	0,661
18,0000	0,663
18,0250	0,662
18,0500	0,662
18,0750	0,665
18,1000	0,663
18,1250	0,663
18,1500	0,667
18,1750	0,670
18,2000	0,668
18,2250	0,668
18,2500	0,674
18,2750	0,676
18,3000	0,674
18,3250	0,674
18,3500	0,687
18,3750	0,689
18,4000	0,684
18,4250	0,687
18,4500	0,682
18,4750	0,684
18,5000	0,689
18,5250	0,688
18,5500	0,696
18,5750	0,698
18,6000	0,692
18,6250	0,692
18,6500	0,696
18,6750	0,698
18,7000	0,699
